"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40191","invalid login test with JSON data - invalid@open.com","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","42953","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-27","broken","2026-06-27","","search.spec.ts","",""
"","40342","@smoke user is able to login to app test","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","0","create a user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","1924","@regression PUT - update a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.indi.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-06-27","skipped","2026-06-27","","search.spec.ts","",""
"","1","get user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","1","user is able to login to app test","chromium","2026-06-27","skipped","2026-06-27","","loginpage.spec.ts","",""
"","40182","@regression verify product images count","chromium","2026-06-27","broken","2026-06-27","","productpage.spec.ts","",""
"","40175","@smoke intercept and log requests","chromium","2026-06-27","broken","2026-06-27","","api/intercept.spec.ts","",""
"","43993","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","1366","@regression DELETE - delete a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.indi.spec.ts","",""
"","643","@smoke GET -- get a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","40196","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","1","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-27","skipped","2026-06-27","","loginpagefix.spec.ts","",""
"","43508","@smoke footers exist on product page","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-06-27","skipped","2026-06-27","","api/intercept.spec.ts","",""
"","396","@regression PUT API -- Update a user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","390","@regression POST API -- create a user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","Update a user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","0","logout link exist test","chromium","2026-06-27","skipped","2026-06-27","","homepage.spec.ts","",""
"","40227","@regression home page headers exist test","chromium","2026-06-27","broken","2026-06-27","","homepagefix.spec.ts","",""
"","0","login page title test","chromium","2026-06-27","skipped","2026-06-27","","loginpage.spec.ts","",""
"","40194","@smoke footers exist on product page","chromium","2026-06-27","broken","2026-06-27","","productpage.spec.ts","",""
"","1","home page headers exist test @junesprint","chromium","2026-06-27","skipped","2026-06-27","","homepage.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-27","skipped","2026-06-27","","search.spec.ts","",""
"","43953","invalid login test with JSON data - wrong@open.com","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","1607","@regression POST - create a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.indi.spec.ts","",""
"","42844","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","40187","@smoke login page title test","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
