"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","user is able to login to app test","chromium","2026-06-27","skipped","2026-06-27","","loginpage.spec.ts","",""
"","0","Update a user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","2408","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2635","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2398","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-27","skipped","2026-06-27","","search.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-27","skipped","2026-06-27","","loginpagefix.spec.ts","",""
"","0","get user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-27","skipped","2026-06-27","","search.spec.ts","",""
"","3154","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2572","@smoke logout link exist test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","3565","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","0","logout link exist test","chromium","2026-06-27","skipped","2026-06-27","","homepage.spec.ts","",""
"","952","@regression POST - create a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.indi.spec.ts","",""
"","3905","@regression verify product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-27","skipped","2026-06-27","","loginpage.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-06-27","skipped","2026-06-27","","search.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-06-27","skipped","2026-06-27","","homepage.spec.ts","",""
"","2282","@regression invalid login test with excel data -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","0","Delete a user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","1850","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2171","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2462","invalid login test with JSON data - wrong@open.com","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-06-27","skipped","2026-06-27","","api/intercept.spec.ts","",""
"","3744","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3960","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","248","@@regression mock search data api","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","382","@regression PUT API -- Update a user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3915","@regression verify product Information/Data","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","1053","@regression GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
